title,year,cover_date,journal,authors,doi,eid,scopus_id,citedby_count,subtype,description,citations_per_year
Artificial Intelligence-Generated Editorials in Radiology: Can Expert Editors Detect Them?,2025,2025-03-01,American Journal of Neuroradiology,Ozkara B.B.,10.3174/ajnr.A8505,2-s2.0-86000673644,SCOPUS_ID:86000673644,1,Article,,0.5
Assessing the Accuracy of Artificial Intelligence in Detecting Intracranial Aneurysms in a Clinical Setting Relative to Neuroradiologists,2025,2025-12-01,American Journal of Neuroradiology,Akinpelu B.J.,10.3174/ajnr.A8897,2-s2.0-105023899809,SCOPUS_ID:105023899809,0,Article,,0.0
Both Infarcted and Noninfarcted Brain Regions Contribute to Deep Learning–Based MRI Prediction of Acute Stroke Outcome,2025,2025-12-01,American Journal of Neuroradiology,Liu Y.,10.3174/ajnr.A8896,2-s2.0-105023870162,SCOPUS_ID:105023870162,0,Article,,0.0
Machine Learning–Based Prediction of Delayed Neurologic Sequelae in Carbon Monoxide Poisoning Using Automatically Extracted MR Imaging Features,2025,2025-12-01,American Journal of Neuroradiology,Lee G.Y.,10.3174/ajnr.A8870,2-s2.0-105023887200,SCOPUS_ID:105023887200,0,Article,,0.0
Can CTA-Based Machine Learning Identify Patients for Whom Successful Endovascular Stroke Therapy Is Insufficient?,2025,2025-12-01,American Journal of Neuroradiology,Jeevarajan J.A.,10.3174/ajnr.A8885,2-s2.0-105023898002,SCOPUS_ID:105023898002,0,Article,,0.0
Deep Learning–Based Generation of DSC MRI Parameter Maps Using Dynamic Contrast-Enhanced MRI Data,2025,2025-10-01,American Journal of Neuroradiology,Pei H.,10.3174/ajnr.A8768,2-s2.0-105018011026,SCOPUS_ID:105018011026,0,Article,,0.0
Erratum: Deep Learning-Based Reconstruction for Accelerated Cervical Spine MRI: Utility in the Evaluation of Myelopathy and Degenerative Diseases (AJNR Am J Neuroradiol (2025) 46 (750–57) DOI: 10.3174/ajnr.A8567),2025,2025-09-01,American Journal of Neuroradiology,,10.3174/ajnr.A8941,2-s2.0-105015039168,SCOPUS_ID:105015039168,0,Erratum,,0.0
Deep Learning MRI Models for the Differential Diagnosis of Tumefactive Demyelination versus IDH Wild-Type Glioblastoma,2025,2025-07-01,American Journal of Neuroradiology,Conte G.M.,10.3174/ajnr.A8645,2-s2.0-105009842600,SCOPUS_ID:105009842600,0,Article,,0.0
Enhancing Lesion Detection in Inflammatory Myelopathies: A Deep Learning Reconstructed Double Inversion Recovery MRI Approach,2025,2025-06-01,American Journal of Neuroradiology,Fang Q.,10.3174/ajnr.A8582,2-s2.0-105008327732,SCOPUS_ID:105008327732,0,Article,,0.0
A Clinical and Imaging Fused Deep Learning Model Matches Expert Clinician Prediction of 90-Day Stroke Outcomes,2024,2024-04-01,American Journal of Neuroradiology,Liu Y.,10.3174/ajnr.A8140,2-s2.0-85190161141,SCOPUS_ID:85190161141,13,Article,,4.333333333333333
Automated Detection of Cervical Spinal Stenosis and Cord Compression via Vision Transformer and Rules-Based Classification,2024,2024-04-01,American Journal of Neuroradiology,Payne D.L.,10.3174/ajnr.A8141,2-s2.0-85189985461,SCOPUS_ID:85189985461,13,Article,,4.333333333333333
