eid,scopus_id,doi,title,year,cover_date,first_author,citedby_count,subtype,volume,issue,page_range
2-s2.0-105023859810,105023859810,10.3174/ajnr.A8962,Prediction of Neonatal Intensive Care Unit Mortality in Fetuses and Neonates with Vein of Galen Malformation,2025,2025-12-01,Chen K.S.,1,Article,46,12,2631-2637
2-s2.0-105020727805,105020727805,10.3174/ajnr.A8841,Deep Learning Reconstruction for 7T MP2RAGE and SPACE MRI: Improving Image Quality at High Acceleration Factors,2025,2025-11-01,Liu Z.,4,Article,46,11,2446-2454
2-s2.0-105020758979,105020758979,10.3174/ajnr.A8826,Automated Detection of the Black Hole Sign for Patients with Intracerebral Hemorrhage Using Self-Supervised Learning,2025,2025-11-01,Wang H.,1,Article,46,11,2300-2309
2-s2.0-105020732556,105020732556,10.3174/ajnr.A8862,7T MRI Automated Software Segmentation of the Hippocampus for Epilepsy: Prospective Performance Evaluation,2025,2025-11-01,Burkett B.J.,0,Article,46,11,2428-2437
2-s2.0-105020819401,105020819401,10.3174/ajnr.A8836,FDG-PET Intensity Normalization Improves Radiomics-Based Survival Prediction in Patients with Oropharyngeal Cancer: A Comparison of the Standardized Uptake Value with Alternative Normalization Techniques,2025,2025-11-01,Payabvash S.,1,Article,46,11,2370-2376
2-s2.0-105020722410,105020722410,10.3174/ajnr.A8869,MRI-Based Quantification of Intratumoral Heterogeneity for Predicting Progression-Free Survival in Patients with Lung Cancer Brain Metastasis Receiving Radiotherapy,2025,2025-11-01,Guo W.,0,Article,46,11,2316-2323
2-s2.0-105020736155,105020736155,10.3174/ajnr.A8816,Assessment of “Zero-Shot” General Purpose Segmentation Models: An Analysis of the Meta “Segment Anything Model” on Meningioma MRI,2025,2025-11-01,Khazanchi R.,1,Article,46,11,2310-2315
2-s2.0-105018032512,105018032512,10.3174/ajnr.A8770,Severity Classification of Pediatric Spinal Cord Injuries Using Structural MRI Measures and Deep Learning: A Comprehensive Analysis across All Vertebral Levels,2025,2025-10-01,Sadeghi-Adl Z.,2,Article,46,10,2186-2194
2-s2.0-105018011026,105018011026,10.3174/ajnr.A8768,Deep Learning–Based Generation of DSC MRI Parameter Maps Using Dynamic Contrast-Enhanced MRI Data,2025,2025-10-01,Pei H.,0,Article,46,10,2075-2083
2-s2.0-105018007364,105018007364,10.3174/ajnr.A8776,Automated Diffusion Analysis for Noninvasive Prediction of Isocitrate Dehydrogenase Genotype in WHO Grade 2–3 Gliomas,2025,2025-10-01,Wu J.,1,Article,46,10,2084-2090
2-s2.0-105015085855,105015085855,10.3174/ajnr.A8715,External Validation of a Winning Artificial Intelligence Algorithm from the RSNA 2022 Cervical Spine Fracture Detection Challenge,2025,2025-09-01,Harper J.P.,6,Article,46,9,1852-1858
2-s2.0-105015319465,105015319465,10.3174/ajnr.A8767,Automated Midline Shift Detection in Head CT Using Localization and Symmetry Techniques Based on User-Selected Slice,2025,2025-09-01,Banayan N.E.,0,Article,46,9,1859-1867
2-s2.0-105015315228,105015315228,10.3174/ajnr.A8750,3D MR Neurography of Craniocervical Nerves: Comparing Double-Echo Steady-State and Postcontrast STIR with Deep Learning–Based Reconstruction at 1.5T,2025,2025-09-01,Ensle F.,4,Article,46,9,1908-1916
2-s2.0-105015039168,105015039168,10.3174/ajnr.A8941,Erratum: Deep Learning-Based Reconstruction for Accelerated Cervical Spine MRI: Utility in the Evaluation of Myelopathy and Degenerative Diseases (AJNR Am J Neuroradiol (2025) 46 (750–57) DOI: 10.3174/ajnr.A8567),2025,2025-09-01,,0,Erratum,46,9,1965
2-s2.0-105015077294,105015077294,10.3174/ajnr.A8766,Delineation of the Centromedian Nucleus for Epilepsy Neuromodulation Using Deep Learning Reconstruction of White Matter–Nulled Imaging,2025,2025-09-01,Ryan M.V.,1,Article,46,9,1868-1874
2-s2.0-105015335833,105015335833,10.3174/ajnr.A8737,Language and Memory Network Alterations in Temporal Lobe Epilepsy: A Functional and Structural Connectivity Study,2025,2025-09-01,Fallahi A.,0,Article,46,9,1953-1962
2-s2.0-105015176476,105015176476,10.3174/ajnr.A8748,Evaluation of Stapes Image Quality with Ultra-High-Resolution CT in Comparison with Conebeam CT and High-Resolution CT in Cadaveric Heads,2025,2025-09-01,Puel U.,0,Article,46,9,1900-1907
2-s2.0-105015102376,105015102376,10.3174/ajnr.A8947,Enhancing Neuroradiology Procedural Competency in Diagnostic Radiology Residency: Threats and Opportunities,2025,2025-09-01,Kadom N.,0,Editorial,46,9,1747-1748
2-s2.0-105012285970,105012285970,10.3174/ajnr.A8695,Optimization of Photon-Counting CT Myelography for the Detection of CSF-Venous Fistulas Using Convolutional Neural Network Denoising: A Comparative Analysis of Reconstruction Techniques,2025,2025-08-01,Madhavan A.A.,4,Article,46,8,1731-1735
2-s2.0-105012272139,105012272139,10.3174/ajnr.A8704,World’s First Real-Time Artificial Intelligence–Assisted Mechanical Thrombectomy for Acute Ischemic Stroke,2025,2025-08-01,Hirose E.,5,Article,46,8,1647-1651
2-s2.0-105012376446,105012376446,10.3174/ajnr.A8699,Imaging Clusters of Pediatric Low-Grade Glioma Are Associated with Distinct Molecular Characteristics,2025,2025-08-01,Kazerooni A.F.,3,Article,46,8,1716-1725
2-s2.0-105009646777,105009646777,10.3174/ajnr.A8589,A Review of the Opportunities and Challenges with Large Language Models in Radiology: The Road Ahead,2025,2025-07-01,Soni N.,21,Review,46,7,1292-1299
2-s2.0-105009495111,105009495111,10.3174/ajnr.A8662,Application of Deep Learning Accelerated Image Reconstruction in T2-Weighted Turbo Spin-Echo Imaging of the Brain at 7T,2025,2025-07-01,Liu Z.,6,Article,46,7,1517-1520
2-s2.0-105009637404,105009637404,10.3174/ajnr.A8650,Improving the Robustness of Deep Learning Models in Predicting Hematoma Expansion from Admission Head CT,2025,2025-07-01,Tran A.T.,4,Article,46,7,1404-1411
2-s2.0-105009822657,105009822657,10.3174/ajnr.A8805,Image-Based Search in Radiology: Identification of Brain Tumor Subtypes within Databases Using MRI-Based Radiomic Features,2025,2025-07-01,von Reppert M.,2,Article,46,7,1421-1428
2-s2.0-105009842600,105009842600,10.3174/ajnr.A8645,Deep Learning MRI Models for the Differential Diagnosis of Tumefactive Demyelination versus IDH Wild-Type Glioblastoma,2025,2025-07-01,Conte G.M.,0,Article,46,7,1412-1420
2-s2.0-105009495604,105009495604,10.3174/ajnr.A8655,Cross-Sectional Validation of an Automated Lesion Segmentation Software in Multiple Sclerosis: Comparison with Radiologist Assessments,2025,2025-07-01,Spampinato M.V.,2,Article,46,7,1510-1516
2-s2.0-105009541301,105009541301,10.3174/ajnr.A8647,Fusion of FDG and FMZ PET Reduces False-Positives in Predicting Epileptogenic Zone,2025,2025-07-01,Cai B.,3,Article,46,7,1493-1500
2-s2.0-105007280705,105007280705,10.3174/ajnr.A8572,Ultra-High-Resolution Photon-Counting-Detector CT with a Dedicated Denoising Convolutional Neural Network for Enhanced Temporal Bone Imaging,2025,2025-06-01,Chang S.,5,Article,46,6,1188-1195
2-s2.0-105008327732,105008327732,10.3174/ajnr.A8582,Enhancing Lesion Detection in Inflammatory Myelopathies: A Deep Learning Reconstructed Double Inversion Recovery MRI Approach,2025,2025-06-01,Fang Q.,0,Article,46,6,1180-1187
2-s2.0-105008283893,105008283893,10.3174/ajnr.A8549,"A Review of Intracranial Aneurysm Imaging Modalities, from CT to State-of-the-Art MR",2025,2025-06-01,Allaw S.,7,Review,46,6,1082-1092
2-s2.0-105004682614,105004682614,10.3174/ajnr.A8580,Development and Evaluation of Automated Artificial Intelligence–Based Brain Tumor Response Assessment in Patients with Glioblastoma,2025,2025-05-01,Zhang J.,3,Article,46,5,990-998
2-s2.0-105004697120,105004697120,10.3174/ajnr.A8581,Empowering Data Sharing in Neuroscience: A Deep Learning Deidentification Method for Pediatric Brain MRIs,2025,2025-05-01,Familiar A.M.,4,Article,46,5,964-972
2-s2.0-105004700397,105004700397,10.3174/ajnr.A8607,"Accuracy of an nnUNet Neural Network for the Automatic Segmentation of Intracranial Aneurysms, Their Parent Vessels, and Major Cerebral Arteries from MRI-TOF",2025,2025-05-01,Colombo E.,2,Article,46,5,956-963
2-s2.0-105004672657,105004672657,10.3174/ajnr.A8552,"Automated Quantification of Cerebral Microbleeds in SWI: Association with Vascular Risk Factors, White Matter Hyperintensity Burden, and Cognitive Function",2025,2025-05-01,Ko J.S.,2,Article,46,5,1007-1015
2-s2.0-105004702269,105004702269,10.3174/ajnr.A8585,Deep Learning–Based Algorithm for Automatic Quantification of Nigrosome-1 and Parkinsonism Classification Using Susceptibility Map–Weighted MRI,2025,2025-05-01,Suh P.S.,7,Article,46,5,999-1006
2-s2.0-105004704950,105004704950,10.3174/ajnr.A8597,Flexible Array for Cervical and Extraspinal (FACE) MR Neurography of the Occipital Nerves at 3T,2025,2025-05-01,Lin Y.,2,Article,46,5,1056-1060
2-s2.0-105002789469,105002789469,10.3174/ajnr.A8544,"Comprehensive Segmentation of Gray Matter Structures on T1-Weighted Brain MRI: A Comparative Study of Convolutional Neural Network, Convolutional Neural Network Hybrid-Transformer or -Mamba Architectures",2025,2025-04-01,Wei Y.,7,Article,46,4,742-749
2-s2.0-105002297137,105002297137,10.3174/ajnr.A8567,Deep Learning-Based Reconstruction for Accelerated Cervical Spine MRI: Utility in the Evaluation of Myelopathy and Degenerative Diseases,2025,2025-04-01,Koo S.J.,2,Article,46,4,750-757
2-s2.0-105002321274,105002321274,10.3174/ajnr.A8547,Data-Driven Prognostication in Distal Medium Vessel Occlusions Using Explainable Machine Learning,2025,2025-04-01,Karabacak M.,2,Article,46,4,725-732
2-s2.0-105002328379,105002328379,10.3174/ajnr.A8566,Leveraging Physics-Based Synthetic MR Images and Deep Transfer Learning for Artifact Reduction in Echo-Planar Imaging,2025,2025-04-01,Raymond C.,1,Article,46,4,733-741
2-s2.0-105002318755,105002318755,10.3174/ajnr.A8526,Super-Resolution in Clinically Available Spinal Cord MRIs Enables Automated Atrophy Analysis,2025,2025-04-01,Dewey B.E.,3,Article,46,4,823-831
2-s2.0-105002606255,105002606255,10.3174/ajnr.A8522,CT-Based Intrathrombus and Perithrombus Radiomics for Prediction of Prognosis after Endovascular Thrombectomy: A Retrospective Study across 2 Centers,2025,2025-04-01,Minda L.,3,Article,46,4,681-688
2-s2.0-86000673644,86000673644,10.3174/ajnr.A8505,Artificial Intelligence-Generated Editorials in Radiology: Can Expert Editors Detect Them?,2025,2025-03-01,Ozkara B.B.,1,Article,46,3,559-566
2-s2.0-86000673300,86000673300,10.3174/ajnr.A8491,Deep Learning-Based ASPECTS Algorithm Enhances Reader Performance and Reduces Interpretation Time,2025,2025-03-01,Ayobi A.,6,Article,46,3,544-551
2-s2.0-86000673046,86000673046,10.3174/ajnr.A8512,AI-Generated Synthetic STIR of the Lumbar Spine from T1 and T2 MRI Sequences Trained with Open-Source Algorithms,2025,2025-03-01,Santilli A.M.L.,2,Article,46,3,552-558
2-s2.0-86000673576,86000673576,10.3174/ajnr.A8509,Performance of Automated Algorithm in Large and Medium Vessel Occlusion Detection: A Real-World Experience,2025,2025-03-01,Sriwastwa A.,11,Article,46,3,476-482
2-s2.0-86000673935,86000673935,10.3174/ajnr.A8490,Accuracy and Longitudinal Consistency of PET/MR Attenuation Correction in Amyloid PET Imaging amid Software and Hardware Upgrades,2025,2025-03-01,Ying C.,1,Article,46,3,635-642
2-s2.0-85214533163,85214533163,10.3174/ajnr.A8470,Radiomics-Based Differentiation of Glioblastoma and Metastatic Disease: Impact of Different T1-Contrast-Enhanced Sequences on Radiomics Features and Model Performance,2025,2025-02-01,Bathla G.,2,Article,46,2,321-329
2-s2.0-85218217299,85218217299,10.3174/ajnr.A8493,Advanced Distance-Resolved Evaluation of the Perienhancing Tumor Areas with FLAIR Hyperintensity Indicates Different ADC Profiles by MGMT Promoter Methylation Status in Glioblastoma,2025,2025-02-01,Bertalan G.,0,Article,46,2,302-310
2-s2.0-85218220167,85218220167,10.3174/ajnr.A8570,Letter to the Editor regarding “Automated Volumetric Software in Dementia: Help or Hindrance to the Neuroradiologist?”,2025,2025-02-01,Smeets D.,0,Letter,46,2,454-455
2-s2.0-85214709019,85214709019,10.3174/ajnr.A8489,Automated Idiopathic Normal Pressure Hydrocephalus Diagnosis via Artificial Intelligence–Based 3D T1 MRI Volumetric Analysis,2025,2025-01-01,Lee J.,6,Article,46,1,33-40
2-s2.0-85215091644,85215091644,10.3174/ajnr.A8482,Deep Learning–Based Super-Resolution Reconstruction on Undersampled Brain Diffusion-Weighted MRI for Infarction Stroke: A Comparison to Conventional Iterative Reconstruction,2025,2025-01-01,Zhang S.,10,Article,46,1,41-48
2-s2.0-85215145116,85215145116,10.3174/ajnr.A8424,DANTE-CAIPI Accelerated Contrast-Enhanced 3D T1: Deep Learning–Based Image Quality Improvement for Vessel Wall MRI,2025,2025-01-01,Kharaji M.,6,Article,46,1,49-56
2-s2.0-85215147456,85215147456,10.3174/ajnr.A8538,REPLY:,2025,2025-01-01,Dowers T.,0,Letter,46,1,224
2-s2.0-85215146117,85215146117,10.3174/ajnr.A8417,Regarding “Comparative Evaluation of Lower Gadolinium Doses for MR Imaging of Meningiomas: How Low Can We Go?”,2025,2025-01-01,Navarro-Ballester A.,0,Letter,46,1,223
2-s2.0-85211729221,85211729221,10.3174/ajnr.A8418,Automated Segmentation of MRI White Matter Hyperintensities in 8421 Patients with Acute Ischemic Stroke,2024,2024-12-01,Kim H.,8,Article,45,12,1885-1894
2-s2.0-85211981731,85211981731,10.3174/ajnr.A8494,AJNR Quo Vadis? An International Perspective on the Journal’s Next 10 Years,2024,2024-12-01,Bammer R.,0,Editorial,45,12,1832-1833
2-s2.0-85212075168,85212075168,10.3174/ajnr.A8550,The Future of Artificial Intelligence in Clinical Radiology: Savior or False Hope?,2024,2024-12-01,Zaharchuk G.,1,Editorial,45,12,1838-1844
2-s2.0-85212054191,85212054191,10.3174/ajnr.A8539,"The Future of Academic Neuroradiology: Challenges, Opportunities, and Way Forward",2024,2024-12-01,Malhotra A.,7,Editorial,45,12,1834-1837
2-s2.0-85208771634,85208771634,10.3174/ajnr.A8387,Artificial Intelligence Efficacy as a Function of Trainee Interpreter Proficiency: Lessons from a Randomized Controlled Trial,2024,2024-11-01,Fussell D.A.,3,Article,45,11,1647-1654
2-s2.0-85208772122,85208772122,10.3174/ajnr.A8382,Deep Learning-Based Reconstruction of 3D T1 SPACE Vessel Wall Imaging Provides Improved Image Quality with Reduced Scan Times: A Preliminary Study,2024,2024-11-01,Bathla G.,11,Article,45,11,1655-1660
2-s2.0-85204781473,85204781473,10.3174/ajnr.A8332,Toward Improved Radiologic Diagnostics: Investigating the Utility and Limitations of GPT-3.5 Turbo and GPT-4 with Quiz Cases,2024,2024-10-01,Kikuchi T.,8,Article,45,10,1506-1511
2-s2.0-85205740987,85205740987,10.3174/ajnr.A8367,Deep Learning Denoising Improves CT Perfusion Image Quality in the Setting of Lower Contrast Dosing: A Feasibility Study,2024,2024-10-01,Mossa-Basha M.,3,Article,45,10,1468-1474
2-s2.0-85205740990,85205740990,10.3174/ajnr.A8358,Evaluation of an Artificial Intelligence Model for Identification of Mass Effect and Vasogenic Edema on CT of the Head,2024,2024-10-01,Newbury-Chaet I.,4,Article,45,10,1528-1535
2-s2.0-85205740610,85205740610,10.3174/ajnr.A8372,MRI-Based Prediction of Clinical Improvement after Ventricular Shunt Placement for Normal Pressure Hydrocephalus: Development and Evaluation of an Integrated Multisequence Machine Learning Algorithm,2024,2024-10-01,Leary O.P.,4,Article,45,10,1536-1544
2-s2.0-85205741412,85205741412,10.3174/ajnr.A8343,Using an Ensemble of Segmentation Methods to Detect Vertebral Bodies on Radiographs,2024,2024-10-01,Chang B.C.,2,Article,45,10,1512-1520
2-s2.0-85205741201,85205741201,10.3174/ajnr.A8342,High-Resolution Head CTA: A Prospective Patient Study Comparing Image Quality of Photon-Counting Detector CT and Energy-Integrating Detector CT,2024,2024-10-01,Diehn F.E.,17,Article,45,10,1441-1449
2-s2.0-85205741089,85205741089,10.3174/ajnr.A8351,DSA Quantitative Analysis and Predictive Modeling of Obliteration in Cerebral AVM following Stereotactic Radiosurgery,2024,2024-10-01,Jabal M.S.,4,Article,45,10,1521-1527
2-s2.0-85205740488,85205740488,10.3174/ajnr.A8355,Estimating Flow Direction of Circle of Willis Using Dynamic Arterial Spin-Labeling MR Angiography,2024,2024-10-01,Zhang K.,1,Article,45,10,1419-1426
2-s2.0-85198330583,85198330583,10.3174/ajnr.A8252,Assessing the Emergence and Evolution of Artificial Intelligence and Machine Learning Research in Neuroradiology,2024,2024-09-01,Boutet A.,10,Article,45,9,1269-1275
2-s2.0-85203858667,85203858667,10.3174/ajnr.A8334,Automated Detection of Steno-Occlusive Lesion on Time-of-Flight MR Angiography: An Observer Performance Study,2024,2024-09-01,Lim H.,2,Article,45,9,1253-1259
2-s2.0-85203854996,85203854996,10.3174/ajnr.A8317,Assessing the Performance of Artificial Intelligence Models: Insights from the American Society of Functional Neuroradiology Artificial Intelligence Competition,2024,2024-09-01,Jiang B.,4,Article,45,9,1276-1283
2-s2.0-85203857564,85203857564,10.3174/ajnr.A8301,Integrating Clinical Data and Radiomics and Deep Learning Features for End-to-End Delayed Cerebral Ischemia Prediction on Noncontrast CT,2024,2024-09-01,Ban Q.Q.,3,Article,45,9,1260-1268
2-s2.0-85202936348,85202936348,10.3174/ajnr.A8335,MR Cranial Bone Imaging: Evaluation of Both Motion-Corrected and Automated Deep Learning Pseudo-CT Estimated MR Images,2024,2024-09-01,Linkugel A.D.,4,Article,45,9,1284-1290
2-s2.0-85203859703,85203859703,10.3174/ajnr.A8422,Real-World Adoption of Artificial Intelligence in Radiology: Opportunities and Barriers,2024,2024-09-01,Forghani R.,0,Editorial,45,9,1175-1176
2-s2.0-85203856308,85203856308,10.3174/ajnr.A8280,Impact of SUSAN Denoising and ComBat Harmonization on Machine Learning Model Performance for Malignant Brain Neoplasms,2024,2024-09-01,Bathla G.,2,Article,45,9,1291-1298
2-s2.0-85201133815,85201133815,10.3174/ajnr.A8272,A Deep Learning Approach to Predict Recanalization First-Pass Effect following Mechanical Thrombectomy in Patients with Acute Ischemic Stroke,2024,2024-08-01,Zhang H.,8,Article,45,8,1044-1052
